,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
66,Yumen,82,CN,1587265200,21,53.51,40.2833,97.2,21.34
67,Bluff,98,NZ,1587265200,75,54.63,-46.6,168.3333,22.08
68,Avarua,79,CK,1587265200,72,82.18,-21.2078,-159.775,16.67
69,Vila Velha,78,BR,1587265200,81,73.36,-20.3297,-40.2925,7.74
70,Ribeira Grande,79,PT,1587265200,71,60.64,38.5167,-28.7,20.6
71,Pisco,0,PE,1587265200,75,70.68,-13.7,-76.2167,6.15
72,Hervey Bay,97,AU,1587265200,78,79.0,-25.2986,152.8535,6.06
73,Naousa,68,GR,1587265200,58,56.05,40.6329,22.0534,1.32
74,Kavieng,82,PG,1587265200,72,83.57,-2.5744,150.7967,2.66
75,Port Alfred,0,ZA,1587265200,44,68.05,-33.5906,26.891,11.43
76,Kruisfontein,1,ZA,1587265200,35,65.25,-34.0033,24.7314,7.34
77,Prachuap Khiri Khan,68,TH,1587265200,58,87.73,11.821,99.7841,4.45
78,Bengkulu,72,ID,1587265200,67,84.7,-3.8004,102.2655,1.03
79,Geraldton,98,AU,1587265200,71,71.53,-28.7667,114.6,15.1
80,Ponta do Sol,4,PT,1587265200,66,62.55,32.6667,-17.1,6.62
81,Tasiilaq,100,GL,1587265200,97,28.83,65.6145,-37.6368,10.89
82,Rocha,0,UY,1587265200,92,59.18,-34.4833,-54.3333,6.73
83,Miles City,100,US,1587265200,45,43.88,46.4083,-105.8406,8.39
84,Mitú,87,CO,1587265200,90,70.52,1.1983,-70.1733,1.25
85,Takoradze,78,GH,1587265200,86,80.06,4.8845,-1.7554,7.23
86,Yalutorovsk,100,RU,1587265200,73,44.33,56.6536,66.3006,4.7
87,Obo,100,CF,1587265200,68,66.97,5.3998,26.4869,4.0
88,Pevek,74,RU,1587265200,92,5.2,69.7008,170.3133,6.08
89,Katobu,81,ID,1587265200,71,85.28,-4.9408,122.5276,3.94
90,Hobart,87,AU,1587265200,63,56.28,-42.8794,147.3294,1.45
91,Cuiluan,100,CN,1587265200,25,64.15,47.72,128.648,13.51
92,Yuancheng,0,CN,1587265200,22,58.95,36.652,107.7896,7.9
93,Tiznit Province,84,MA,1587265200,74,55.99,29.5833,-9.5,15.14
94,Ilulissat,100,GL,1587265200,85,22.12,69.2167,-51.1,10.69
95,Darnah,0,LY,1587265200,69,58.12,32.767,22.6367,7.25
96,Tazovsky,100,RU,1587265200,98,35.87,67.4667,78.7,20.96
97,Kawalu,99,ID,1587265200,49,88.32,-7.3817,108.2082,0.87
98,Dingle,25,PH,1587265200,53,89.29,10.9995,122.6711,12.3
99,Llanes,94,ES,1587265200,79,56.12,43.4198,-4.7549,2.37
100,Vila Franca do Campo,100,PT,1587265200,87,62.83,37.7167,-25.4333,16.89
101,Touros,60,BR,1587265200,75,80.92,-5.1989,-35.4608,1.43
102,Petropavl,100,KZ,1587265200,68,52.99,54.8753,69.1628,11.88
103,Banda Aceh,76,ID,1587265200,66,86.23,5.5577,95.3222,2.98
104,North Bend,91,US,1587265200,81,49.89,43.4065,-124.2243,1.68
105,Eilat,10,IL,1587265200,57,69.42,29.5581,34.9482,5.21
106,Hailar,100,CN,1587265200,48,38.7,49.2,119.7,15.52
107,Galveston,100,US,1587265200,95,71.69,29.3669,-94.9669,11.9
108,Dzhankoy,0,UA,1587265200,79,46.24,45.7167,34.4,1.01
109,Palauig,54,PH,1587265200,57,89.28,15.435,119.9045,4.92
110,Chui,0,UY,1587265200,87,63.37,-33.6971,-53.4616,9.31
111,Purranque,75,CL,1587265200,90,53.78,-40.9167,-73.1667,4.59
112,Uzhur,0,RU,1587265200,51,44.65,55.3036,89.8339,9.6
113,Nyrob,100,RU,1587265200,92,34.16,60.733,56.7202,7.4
114,Kokkola,76,FI,1587265200,96,32.29,63.8385,23.1307,7.92
115,Olímpia,99,BR,1587265200,78,72.28,-20.7372,-48.9147,8.43
116,North Platte,27,US,1587265200,29,55.15,41.1239,-100.7654,6.11
117,Esperance,100,AU,1587265200,67,67.78,-33.8667,121.9,27.51
118,Butaritari,100,KI,1587265200,79,83.1,3.0707,172.7902,16.6
119,Kaliua,99,TZ,1587265200,71,64.35,-5.0606,31.7936,3.51
120,Jumla,0,NP,1587265200,20,57.51,29.2747,82.1838,2.08
121,Henties Bay,3,NA,1587265200,80,61.86,-22.116,14.2845,3.56
122,George Town,53,MY,1587265200,69,86.88,5.4112,100.3354,2.3
123,Bhanjanagar,0,IN,1587265200,32,95.59,19.9333,84.5833,3.18
124,Champerico,28,GT,1587265200,70,83.43,14.3,-91.9167,2.84
125,Meulaboh,64,ID,1587265200,67,85.5,4.1363,96.1285,1.45
126,Udaipura,13,IN,1587265200,20,93.06,23.0833,78.5,8.41
127,East London,0,ZA,1587265200,60,67.35,-33.0153,27.9116,12.44
128,Kahului,8,US,1587265200,74,77.11,20.8947,-156.47,13.27
129,Oodweyne,99,SO,1587265200,57,73.08,9.4092,45.064,8.43
130,Hammerfest,97,NO,1587265200,91,37.4,70.6634,23.6821,11.92
131,Udachny,1,RU,1587265200,84,19.42,66.4167,112.4,6.8
132,Rock Sound,0,BS,1587265200,76,78.21,24.9,-76.2,5.35
133,Arrecife,8,ES,1587265200,77,63.37,28.963,-13.5477,17.74
134,Flin Flon,96,CA,1587265200,94,16.93,54.7682,-101.865,0.92
135,Nome,100,US,1587265200,97,34.63,64.5011,-165.4064,5.37
136,Bethel,0,US,1587265200,82,34.66,41.3712,-73.414,6.38
137,Siocon,23,PH,1587265200,72,84.72,7.7061,122.1353,9.6
138,Araguari,100,BR,1587265200,78,68.61,-18.6472,-48.1872,2.64
139,Antsla,94,EE,1587265200,93,34.18,57.8256,26.5406,6.93
140,Mahébourg,10,MU,1587265200,76,76.93,-20.4081,57.7,18.45
141,Luancheng,37,CN,1587265200,32,70.74,37.8792,114.6517,1.79
142,Qaanaaq,100,GL,1587265200,86,18.7,77.484,-69.3632,15.77
143,São João da Barra,100,BR,1587265200,78,72.19,-21.6403,-41.0511,9.98
144,Hasaki,16,JP,1587265200,54,65.46,35.7333,140.8333,24.9
145,Yulara,51,AU,1587265200,19,90.12,-25.2406,130.9889,9.08
146,Provideniya,100,RU,1587265200,95,23.09,64.3833,-173.3,13.85
147,Port Hardy,46,CA,1587265200,77,53.92,50.6996,-127.4199,4.25
148,Daru,83,PG,1587265200,68,85.95,-9.0763,143.2092,6.04
149,Nelson Bay,3,AU,1587265200,60,70.38,-32.7167,152.15,5.53
150,Nadvoitsy,100,RU,1587265200,94,31.84,63.8667,34.3167,8.14
151,Nishihara,100,JP,1587265200,84,75.02,26.1842,127.7558,15.75
152,Castro,31,BR,1587265200,71,54.43,-24.7911,-50.0119,5.95
153,Severo-Kuril'sk,81,RU,1587265200,92,33.4,50.6789,156.125,17.72
154,Norrtälje,0,SE,1587265200,87,39.67,59.758,18.705,12.1
155,Carnarvon,24,AU,1587265200,66,77.86,-24.8667,113.6333,15.08
156,Mopipi,0,BW,1587265200,53,67.77,-21.1833,24.8833,13.49
157,Caraballeda,30,VE,1587265200,68,76.55,10.6112,-66.8522,5.82
158,Hermanus,98,ZA,1587265200,48,67.26,-34.4187,19.2345,4.0
159,Mareeba,36,AU,1587265200,39,94.6,-17.0,145.4333,0.18
160,Benoy,99,TD,1587265200,38,85.44,8.9833,16.3199,3.47
161,Correntina,100,BR,1587265200,78,69.67,-13.3433,-44.6367,5.46
162,Thompson,76,CA,1587265200,92,8.38,55.7435,-97.8558,4.68
163,Ambilobe,7,MG,1587265200,76,70.21,-13.2,49.05,3.76
164,Hongjiang,100,CN,1587265200,81,60.91,27.11,109.9956,3.96
165,Laas,80,IT,1587265200,47,48.34,46.6166,10.7002,2.21
166,Dikson,100,RU,1587265200,92,35.33,73.5069,80.5464,21.63
167,Voh,25,NC,1587265200,65,82.08,-20.9667,164.7,6.11
168,Lompoc,49,US,1587265200,81,52.92,34.6391,-120.4579,7.9
169,Dawson Creek,8,CA,1587265200,62,44.65,55.7666,-120.2362,7.2
170,Baiyin,96,CN,1587265200,19,57.45,36.5583,104.2081,4.23
171,Walvis Bay,2,NA,1587265200,80,60.3,-22.9575,14.5053,2.24
172,Taoudenni,93,ML,1587265200,54,77.27,22.6783,-3.9836,6.93
173,Almenara,80,BR,1587265200,81,69.58,-16.1836,-40.6944,2.66
174,Juneau,5,US,1587265200,57,55.42,58.3019,-134.4197,0.83
175,Portland,90,US,1587265200,78,51.87,45.5234,-122.6762,1.21
176,Melville,0,US,1587265200,62,43.27,40.7934,-73.4151,14.41
177,Rudnaya Pristan',19,RU,1587265200,49,49.84,44.3614,135.8116,6.55
178,Oranjemund,81,NA,1587265200,84,56.32,-28.55,16.4333,1.45
179,Kuito,94,AO,1587265200,60,57.63,-12.3833,16.9333,3.0
180,Kaitangata,83,NZ,1587265200,69,56.62,-46.2817,169.8464,15.9
181,Pacifica,7,US,1587265200,79,54.27,37.6138,-122.4869,5.35
182,Kapaa,9,US,1587265200,63,77.04,22.0752,-159.319,8.55
183,Balaipungut,1,ID,1587265200,60,90.19,1.05,101.2833,4.16
184,Souillac,13,MU,1587265200,77,76.24,-20.5167,57.5167,16.11
185,Auki,59,SB,1587265200,73,82.96,-8.7676,160.7034,1.23
186,Hithadhoo,68,MV,1587265200,74,83.95,-0.6,73.0833,11.1
187,Hofn,100,IS,1587265200,87,45.59,64.2539,-15.2082,13.91
188,Sur,33,OM,1587265200,41,84.52,22.5667,59.5289,7.09
189,Semey,0,KZ,1587265200,40,59.05,50.4111,80.2275,1.95
190,Popondetta,24,PG,1587265200,51,90.03,-8.7537,148.2534,4.72
191,Bari,100,IT,1587265200,54,61.9,41.1177,16.8512,4.16
192,Port Elizabeth,0,ZA,1587265200,45,68.36,-33.918,25.5701,6.15
193,Nikolskoye,97,RU,1587265200,91,35.29,59.7035,30.7861,8.63
194,Tuatapere,83,NZ,1587265200,73,53.78,-46.1333,167.6833,10.6
195,Chapais,100,CA,1587265200,77,36.63,49.7834,-74.8492,12.59
196,Tiksi,95,RU,1587265200,85,15.01,71.6872,128.8694,4.59
197,Porto Santo,2,PT,1587265200,76,61.66,33.072,-16.3415,14.7
198,Torbay,27,CA,1587265200,93,29.07,47.6666,-52.7314,8.08
199,Dauphin,91,CA,1587265200,94,24.21,51.1494,-100.0502,1.14
200,Sept-Îles,81,CA,1587265200,94,30.78,50.2001,-66.3821,7.74
201,Aswān,0,EG,1587265200,36,64.27,24.0934,32.907,6.15
202,Mudgee,0,AU,1587265200,36,67.3,-32.5943,149.5871,2.39
203,Acapulco de Juárez,23,MX,1587265200,71,77.09,16.8634,-99.8901,2.55
204,Mount Gambier,84,AU,1587265200,58,63.12,-37.8333,140.7667,6.67
205,Kuril'sk,100,RU,1587265200,69,39.92,45.2333,147.8833,3.49
206,Lüderitz,10,NA,1587265200,75,61.32,-26.6481,15.1594,9.8
207,Winnemucca,96,US,1587265200,24,59.7,40.973,-117.7357,12.06
208,Vestmannaeyjar,100,IS,1587265200,95,45.54,63.4427,-20.2734,16.64
209,Ishigaki,96,JP,1587265200,87,77.0,24.3448,124.1572,21.7
210,Yarmolyntsi,100,UA,1587265200,60,39.2,49.1924,26.8373,3.53
211,Ust-Nera,99,RU,1587265200,77,5.99,64.5667,143.2,6.31
212,Kingsville,100,US,1587265200,93,71.83,27.5159,-97.8561,8.23
213,Muravlenko,100,RU,1587265200,84,40.82,63.7898,74.523,16.96
214,Raudeberg,8,NO,1587265200,71,40.66,61.9875,5.1352,2.75
215,Tsimmerbude,0,RU,1587265200,78,37.83,54.675,20.1347,11.39
216,Mabaruma,22,GY,1587265200,90,75.49,8.2,-59.7833,5.53
217,Albacete,100,ES,1587265200,73,55.06,38.8333,-2.0,3.87
218,Itacaré,68,BR,1587265200,92,75.49,-14.2775,-38.9967,10.45
219,Seoul,100,KR,1587265200,40,64.0,37.5683,126.9778,8.75
220,Cidreira,0,BR,1587265200,84,66.92,-30.1811,-50.2056,13.11
221,Buala,55,SB,1587265200,69,84.74,-8.145,159.5921,1.7
222,Kokopo,45,PG,1587265200,73,84.79,-4.352,152.2633,5.75
223,San Patricio,62,MX,1587265200,73,75.36,19.2167,-104.7,11.74
224,Alofi,18,NU,1587265200,79,83.53,-19.0595,-169.9187,18.07
225,Egvekinot,100,RU,1587265200,90,9.75,66.3167,-179.1667,18.86
226,Honningsvåg,98,NO,1587265200,87,39.43,70.9821,25.9704,14.65
227,Ejido,67,VE,1587265200,49,68.31,8.5514,-71.2375,2.46
228,Aksarka,100,RU,1587265200,98,33.89,66.5606,67.7975,3.89
229,Shebunino,0,RU,1587265200,56,49.91,46.4339,141.8603,7.87
230,Ancud,96,CL,1587265200,83,54.5,-41.8697,-73.8203,12.1
231,Upernavik,100,GL,1587265200,91,21.47,72.7868,-56.1549,10.25
232,Ecoporanga,38,BR,1587265200,82,66.31,-18.3733,-40.8306,4.12
233,Anadyr,100,RU,1587265200,96,17.1,64.75,177.4833,16.69
234,Listvyanka,36,RU,1587265200,63,34.79,51.8535,104.8693,16.11
235,Tucumcari,47,US,1587265200,17,64.04,35.1717,-103.725,8.28
236,Alice Springs,9,AU,1587265200,18,87.55,-23.7,133.8833,9.08
237,Uthal,71,PK,1587265200,53,80.92,25.8072,66.6219,1.97
238,Nhulunbuy,73,AU,1587265200,70,87.22,-12.2333,136.7667,9.15
239,West Point,66,US,1587265200,64,54.59,33.6076,-88.6503,4.21
240,Grand-Lahou,96,CI,1587265200,84,80.83,5.1367,-5.0242,11.43
241,Baoding,31,CN,1587265200,36,68.58,38.8511,115.4903,10.67
242,Coyhaique,100,CL,1587265200,70,44.2,-45.5752,-72.0662,6.58
243,Sironj,44,IN,1587265200,15,90.72,24.1,77.7,8.23
244,Margate,1,GB,1587265200,86,47.43,51.3813,1.3862,15.68
245,Gonder,88,ET,1587265200,13,61.79,12.6,37.4667,4.25
246,Port Hedland,15,AU,1587265200,36,93.36,-20.3167,118.5667,6.78
247,Kaniama,100,CD,1587265200,75,67.41,-7.5667,24.1833,3.22
248,Avera,100,US,1587265200,43,57.49,33.194,-82.5271,5.68
249,Sfântu Gheorghe,62,RO,1587265200,70,45.77,45.8667,25.7833,0.81
250,Corrente,97,BR,1587265200,94,73.02,-3.7367,-43.3394,1.48
251,College,99,US,1587265200,89,44.58,64.8569,-147.8028,1.83
252,Rongcheng,100,CN,1587265200,84,59.29,30.634,117.8517,6.35
253,San Andrés,4,CO,1587265200,76,81.95,12.5847,-81.7006,9.86
254,Eatonton,100,US,1587265200,48,53.46,33.3268,-83.3885,4.94
255,Ouadda,97,CF,1587265200,46,66.92,8.0777,22.4007,2.68
256,Tuy Hoa,89,VN,1587265200,62,86.14,13.0833,109.3,6.91
257,Rovaniemi,82,FI,1587265200,96,30.58,66.5,25.7167,3.87
258,Harper,100,LR,1587265200,84,79.81,4.375,-7.7169,8.3
259,Pontianak,31,ID,1587265200,63,86.47,-0.0333,109.3333,3.4
260,Tinskoy,0,RU,1587265200,63,37.13,56.1525,96.9161,8.84
261,Moussoro,79,TD,1587265200,15,79.32,13.6408,16.4901,11.99
262,Nabire,100,ID,1587265200,74,82.06,-3.3667,135.4833,2.06
263,Byron Bay,37,AU,1587265200,45,75.96,-28.65,153.6167,1.14
264,Phan Thiet,96,VN,1587265200,64,85.41,10.9333,108.1,7.92
265,Faya,27,SA,1587265200,44,60.91,18.3851,42.4509,4.74
266,Dogondoutchi,0,NE,1587265200,14,79.93,13.6393,4.0287,3.69
267,Necochea,87,AR,1587265200,59,65.61,-38.5473,-58.7368,17.67
268,Severnyy,61,RU,1587265200,76,36.72,50.677,36.5532,5.19
269,Los Llanos de Aridane,23,ES,1587265200,72,63.72,28.6585,-17.9182,13.27
270,Morondava,0,MG,1587265200,79,74.55,-20.2833,44.2833,7.58
271,Faanui,90,PF,1587265200,73,83.17,-16.4833,-151.75,11.07
272,Manokwari,98,ID,1587265200,65,85.68,-0.8667,134.0833,3.56
273,Muros,0,ES,1587265200,87,51.24,42.7762,-9.0603,2.46
274,Hambantota,17,LK,1587265200,77,83.55,6.1241,81.1185,7.49
275,Kidal,13,ML,1587265200,12,81.7,18.4411,1.4078,8.63
276,Tamandaré,72,BR,1587265200,78,80.15,-8.7597,-35.1047,1.86
277,Rāpar,29,IN,1587265200,54,83.93,23.5667,70.6333,13.49
278,Chuka,100,KE,1587265200,58,63.66,-0.3332,37.6459,1.74
279,Lishui,62,CN,1587265200,64,79.09,28.4604,119.9103,4.09
280,Saint-Philippe,47,RE,1587265200,76,77.36,-21.3585,55.7679,20.6
281,Hay River,100,CA,1587265200,85,45.25,60.8156,-115.7999,14.56
282,Bol,99,TD,1587265200,21,80.91,13.4586,14.7147,14.7
283,Russell,100,US,1587265200,57,64.9,32.3502,-85.1999,4.36
284,Mandalgovi,0,MN,1587265200,37,36.28,45.7625,106.2708,26.04
285,Innisfail,6,AU,1587265200,73,83.03,-17.5333,146.0333,7.16
286,Erenhot,100,CN,1587265200,59,43.43,43.6475,111.9767,19.51
287,Wanning,17,CN,1587265200,71,82.69,18.8003,110.3967,12.39
288,Klaksvík,0,FO,1587265200,81,44.6,62.2266,-6.589,16.26
289,Ambon City,1,ID,1587265200,68,87.94,-3.6954,128.1814,4.14
290,Bredasdorp,94,ZA,1587265200,35,67.75,-34.5322,20.0403,3.96
291,Bubaque,94,GW,1587265200,57,79.92,11.2833,-15.8333,15.5
292,Iracoubo,99,GF,1587265200,86,79.18,5.4802,-53.2011,9.55
293,Grenfell,9,AU,1587265200,38,62.33,-33.9,148.1667,4.54
294,Hamilton,0,US,1587265200,74,42.71,39.1834,-84.5333,7.11
295,Sarkand,0,KZ,1587265200,26,57.92,45.41,79.9186,1.48
296,Cap Malheureux,15,MU,1587265200,75,78.33,-19.9842,57.6142,20.33
297,Grand Gaube,16,MU,1587265200,76,78.21,-20.0064,57.6608,20.27
298,Deqing,100,CN,1587265200,86,63.88,30.5448,119.9599,8.34
299,Lagoa,80,PT,1587265200,72,61.36,39.05,-27.9833,22.88
300,Yangambi,67,CD,1587265200,86,69.4,0.8102,24.4336,1.86
301,Tual,100,ID,1587265200,72,84.47,-5.6667,132.75,5.59
302,Bariloche,71,AR,1587265200,57,50.45,-41.1456,-71.3082,13.35
303,Visnagar,60,IN,1587265200,35,90.7,23.7,72.55,12.8
304,Chokurdakh,100,RU,1587265200,91,5.05,70.6333,147.9167,11.48
305,Pacific Grove,1,US,1587265200,74,55.98,36.6177,-121.9166,4.94
306,Broken Hill,0,AU,1587265200,33,68.16,-31.95,141.4333,9.89
307,Asău,90,RO,1587265200,60,44.82,46.4333,26.4,1.92
308,Turukhansk,100,RU,1587265200,66,42.8,65.8167,87.9833,19.22
309,Dauriya,69,RU,1587265200,48,36.37,49.9333,116.8667,15.26
310,Dalnerechensk,84,RU,1587265200,35,62.08,45.9339,133.7225,10.42
311,Saint George,23,US,1587265200,27,63.37,37.1041,-113.5841,6.71
312,Darhan,100,MN,1587265200,47,39.07,49.4867,105.9228,22.06
313,Bela,100,IN,1587265200,18,93.81,25.9333,81.9833,5.68
314,Mercedes,0,AR,1587265200,70,60.66,-34.6515,-59.4307,9.19
315,Atambua,30,ID,1587265200,58,81.99,-9.1061,124.8925,2.19
316,Bianzhuang,100,CN,1587265200,78,53.1,34.8486,118.0447,2.8
317,Pochutla,30,MX,1587265200,72,82.6,15.7432,-96.4661,5.12
318,Varhaug,0,NO,1587265200,64,43.0,58.6147,5.6457,5.99
319,Itoman,100,JP,1587265200,85,75.2,26.1247,127.6694,15.99
320,Iqaluit,36,CA,1587265200,82,-3.17,63.7506,-68.5145,3.42
321,Norman Wells,98,CA,1587265200,91,34.3,65.282,-126.8329,7.96
322,Melendugno,82,IT,1587265200,65,59.45,40.2747,18.3368,4.09
323,Kieta,51,PG,1587265200,72,84.63,-6.2167,155.6333,3.36
324,Bonavista,35,CA,1587265200,96,28.35,48.6499,-53.1147,4.09
325,Hibbing,79,US,1587265200,82,36.82,47.4272,-92.9377,7.25
326,Corowa,59,AU,1587265200,44,63.34,-36.0333,146.3833,4.36
327,Sambava,69,MG,1587265200,81,73.36,-14.2667,50.1667,9.46
328,Lincoln,76,US,1587265200,66,52.81,40.8,-96.667,10.0
329,Ust'-Ilimsk,0,RU,1587265200,74,28.9,58.0006,102.6619,8.39
330,Karratha,28,AU,1587265200,38,91.15,-20.7377,116.8463,5.68
331,Skerries,97,IE,1587265200,90,46.53,53.5828,-6.1083,9.33
332,Winsford,70,GB,1587265200,88,41.14,53.1833,-2.5167,5.61
333,Kalengwa,26,ZM,1587265200,69,59.0,-13.4659,25.0027,4.88
334,Bathsheba,4,BB,1587265200,76,80.33,13.2167,-59.5167,17.98
335,Katsuura,1,JP,1587265200,48,67.69,35.1333,140.3,16.11
336,Tommot,100,RU,1587265200,83,22.03,58.9564,126.2925,6.6
337,Point Fortin,0,TT,1587265200,80,78.48,10.1833,-61.6833,13.33
338,Belaya Gora,18,RU,1587265200,89,8.92,68.5333,146.4167,7.4
339,Cherskiy,0,RU,1587265200,91,9.97,68.75,161.3,12.28
340,Raton,4,US,1587265200,22,49.44,36.9034,-104.4391,10.11
341,Xaçmaz,100,AZ,1587265200,73,53.26,41.4635,48.806,6.4
342,Eureka,100,US,1587265200,83,52.11,40.8021,-124.1637,2.37
343,Ormara,21,PK,1587265200,71,79.0,25.2088,64.6357,7.14
344,Isla Vista,69,US,1587265200,75,55.67,34.4133,-119.861,5.93
345,Toora-Khem,0,RU,1587265200,38,44.67,52.4675,96.11,3.62
346,Vostok,2,RU,1587265200,30,56.32,46.4856,135.8833,8.7
347,Port Hawkesbury,100,CA,1587265200,95,33.1,45.6169,-61.3485,13.62
348,Inírida,100,CO,1587265200,95,73.18,3.8653,-67.9239,2.39
349,Tomatlán,62,MX,1587265200,72,73.2,19.9333,-105.25,9.1
350,Gorontalo,5,ID,1587265200,62,88.66,0.5412,123.0595,3.65
351,Sabang,69,ID,1587265200,68,84.33,5.8933,95.3214,2.8
352,Cabo San Lucas,3,MX,1587265200,83,66.79,22.8909,-109.9124,13.31
353,Icod de los Vinos,17,ES,1587265200,72,60.37,28.3724,-16.7119,8.28
354,Ushtobe,0,KZ,1587265200,32,60.98,45.2514,77.9838,5.93
355,Cabra,100,ES,1587265200,77,57.18,37.4725,-4.4421,1.48
356,Pangody,100,RU,1587265200,97,38.03,65.85,74.4859,19.48
357,Sechura,1,PE,1587265200,75,73.72,-5.5569,-80.8222,12.28
358,Atar,0,MR,1587265200,48,64.29,20.5169,-13.0499,9.4
359,Ixtapa,35,MX,1587265200,71,73.2,20.7,-105.2,2.95
